frame,left,right
000000.jpg,0.0,0.0
000001.jpg,0.0,0.0
000002.jpg,0.0,0.0
000003.jpg,0.0,0.0
000004.jpg,0.15,0.15
000005.jpg,0.15,0.15
000006.jpg,0.15,0.15
000007.jpg,0.15,0.15
000008.jpg,0.15,0.15
000009.jpg,0.15,0.15
000010.jpg,0.15,0.15
000011.jpg,0.15,0.15
000012.jpg,0.15,0.15
000013.jpg,0.15,0.15
000014.jpg,0.15,0.15
000015.jpg,0.15,0.15
000016.jpg,0.15,0.15
000017.jpg,0.15,0.15
000018.jpg,0.15,0.15
000019.jpg,0.15,0.15
000020.jpg,0.15,0.15
000021.jpg,0.15,0.15
000022.jpg,0.15,0.15
000023.jpg,0.15,0.15
000024.jpg,0.15,0.15
000025.jpg,0.15,0.15
000026.jpg,0.15,0.15
000027.jpg,0.0,0.0
000028.jpg,0.0,0.0
000029.jpg,0.0,0.0
000030.jpg,0.0,0.0
000031.jpg,0.0,0.0
000032.jpg,0.0,0.0
000033.jpg,0.0,0.0
000034.jpg,0.0,0.0
000035.jpg,0.0,0.0
000036.jpg,0.0,0.0
000037.jpg,0.0,0.0
000038.jpg,0.0,0.0
000039.jpg,0.0,0.0
000040.jpg,0.0,0.0
000041.jpg,0.0,0.0
000042.jpg,0.0,0.0
000043.jpg,0.15,0.15
000044.jpg,0.15,0.15
000045.jpg,0.15,0.15
000046.jpg,0.15,0.15
000047.jpg,0.15,0.15
000048.jpg,0.15,0.15
000049.jpg,0.15,0.15
000050.jpg,0.15,0.15
000051.jpg,0.15,0.15
000052.jpg,0.15,0.15
000053.jpg,0.15,0.15
000054.jpg,0.15,0.15
000055.jpg,-0.2,0.2
000056.jpg,-0.2,0.2
000057.jpg,-0.2,0.2
000058.jpg,0.15,0.15
000059.jpg,0.15,0.15
000060.jpg,0.15,0.15
000061.jpg,0.15,0.15
000062.jpg,0.15,0.15
000063.jpg,0.15,0.15
000064.jpg,0.15,0.15
000065.jpg,0.15,0.15
000066.jpg,0.15,0.15
000067.jpg,0.15,0.15
000068.jpg,0.15,0.15
000069.jpg,0.15,0.15
000070.jpg,0.15,0.15
000071.jpg,0.15,0.15
000072.jpg,0.15,0.15
000073.jpg,0.15,0.15
000074.jpg,0.15,0.15
000075.jpg,0.15,0.15
000076.jpg,0.15,0.15
000077.jpg,0.15,0.15
000078.jpg,0.15,0.15
000079.jpg,0.15,0.15
000080.jpg,0.15,0.15
000081.jpg,0.15,0.15
000082.jpg,0.15,0.15
000083.jpg,0.15,0.15
000084.jpg,0.15,0.15
000085.jpg,0.15,0.15
000086.jpg,0.15,0.15
000087.jpg,0.15,0.15
000088.jpg,0.15,0.15
000089.jpg,0.15,0.15
000090.jpg,0.15,0.15
000091.jpg,0.15,0.15
000092.jpg,0.2,-0.2
000093.jpg,0.2,-0.2
000094.jpg,0.2,-0.2
000095.jpg,0.2,-0.2
000096.jpg,0.2,-0.2
000097.jpg,0.15,0.15
000098.jpg,0.15,0.15
000099.jpg,0.15,0.15
000100.jpg,0.15,0.15
000101.jpg,0.15,0.15
000102.jpg,0.15,0.15
000103.jpg,0.15,0.15
000104.jpg,0.15,0.15
000105.jpg,0.15,0.15
000106.jpg,0.15,0.15
000107.jpg,0.15,0.15
000108.jpg,0.15,0.15
000109.jpg,0.15,0.15
000110.jpg,0.15,0.15
000111.jpg,0.15,0.15
000112.jpg,0.15,0.15
000113.jpg,0.15,0.15
000114.jpg,0.15,0.15
000115.jpg,0.2,-0.2
000116.jpg,0.2,-0.2
000117.jpg,0.2,-0.2
000118.jpg,0.2,-0.2
000119.jpg,0.2,-0.2
000120.jpg,0.2,-0.2
000121.jpg,0.2,-0.2
000122.jpg,0.2,-0.2
000123.jpg,0.15,0.15
000124.jpg,0.15,0.15
000125.jpg,0.15,0.15
000126.jpg,0.15,0.15
000127.jpg,0.15,0.15
000128.jpg,0.15,0.15
000129.jpg,0.15,0.15
000130.jpg,0.2,-0.2
000131.jpg,0.2,-0.2
